id,menu_id,name,price,description,ingredients
1388,204,Naan Garlic Bread,19.57,A delicious naan garlic bread prepared fresh.,"Salt, Pepper, Oil"
1389,204,Paneer Tikka Masala,13.11,A delicious paneer tikka masala prepared fresh.,"Salt, Pepper, Oil"
1390,204,Chana Masala,10.81,A delicious chana masala prepared fresh.,"Salt, Pepper, Oil"
1391,204,Aloo Paratha,9.81,A delicious aloo paratha prepared fresh.,"Salt, Pepper, Oil"
1392,204,Dal Makhani,25.76,A delicious dal makhani prepared fresh.,"Salt, Pepper, Oil"
1393,204,Butter Chicken,17.44,A delicious butter chicken prepared fresh.,"Salt, Pepper, Oil"
1394,204,Mutton Karahi,6.99,A delicious mutton karahi prepared fresh.,"Salt, Pepper, Oil"
1395,204,Fish Masala Curry,14.47,A delicious fish masala curry prepared fresh.,"Salt, Pepper, Oil"
1396,204,Chicken Tandoori,25.56,A delicious chicken tandoori prepared fresh.,"Salt, Pepper, Oil"
1397,204,Chicken Biryani,28.53,A delicious chicken biryani prepared fresh.,"Salt, Pepper, Oil"
1398,205,Butter Chicken,5.72,A delicious butter chicken prepared fresh.,"Salt, Pepper, Oil"
1399,205,Fish Masala Curry,22.85,A delicious fish masala curry prepared fresh.,"Salt, Pepper, Oil"
1400,205,Naan Garlic Bread,6.57,A delicious naan garlic bread prepared fresh.,"Salt, Pepper, Oil"
1401,205,Chana Masala,25.34,A delicious chana masala prepared fresh.,"Salt, Pepper, Oil"
1402,205,Dal Makhani,18.85,A delicious dal makhani prepared fresh.,"Salt, Pepper, Oil"
1403,205,Chicken Tandoori,15.27,A delicious chicken tandoori prepared fresh.,"Salt, Pepper, Oil"
1404,205,Mutton Karahi,24.50,A delicious mutton karahi prepared fresh.,"Salt, Pepper, Oil"
1405,205,Chicken Biryani,10.78,A delicious chicken biryani prepared fresh.,"Salt, Pepper, Oil"
1406,205,Paneer Tikka Masala,20.72,A delicious paneer tikka masala prepared fresh.,"Salt, Pepper, Oil"
1407,205,Aloo Paratha,21.37,A delicious aloo paratha prepared fresh.,"Salt, Pepper, Oil"
1408,206,Aloo Paratha,21.49,A delicious aloo paratha prepared fresh.,"Salt, Pepper, Oil"
1409,206,Chicken Tandoori,15.78,A delicious chicken tandoori prepared fresh.,"Salt, Pepper, Oil"
1410,206,Chicken Biryani,16.91,A delicious chicken biryani prepared fresh.,"Salt, Pepper, Oil"
1411,206,Butter Chicken,26.88,A delicious butter chicken prepared fresh.,"Salt, Pepper, Oil"
1412,206,Paneer Tikka Masala,25.31,A delicious paneer tikka masala prepared fresh.,"Salt, Pepper, Oil"
1413,206,Dal Makhani,25.59,A delicious dal makhani prepared fresh.,"Salt, Pepper, Oil"
1414,206,Fish Masala Curry,8.87,A delicious fish masala curry prepared fresh.,"Salt, Pepper, Oil"
1415,206,Naan Garlic Bread,22.85,A delicious naan garlic bread prepared fresh.,"Salt, Pepper, Oil"
1416,206,Mutton Karahi,24.48,A delicious mutton karahi prepared fresh.,"Salt, Pepper, Oil"
1417,206,Chana Masala,20.72,A delicious chana masala prepared fresh.,"Salt, Pepper, Oil"
1418,207,Butter Chicken,11.50,A delicious butter chicken prepared fresh.,"Salt, Pepper, Oil"
1419,207,Chicken Biryani,24.11,A delicious chicken biryani prepared fresh.,"Salt, Pepper, Oil"
